Station_ID,maintFlag,WRK_DAY2,useHrs
Station-4,1,11/30/2019,24
Station-3,0,11/30/2019,10
Station-3,1,11/30/2019,14
Station-2,1,11/30/2019,14
Station-5,1,11/30/2019,24
Station-1,1,11/30/2019,14
Station-5,1,11/29/2019,5
Station-5,0,11/29/2019,19
Station-4,1,11/29/2019,5
Station-3,0,11/29/2019,24
Station-4,0,11/29/2019,19
Station-2,0,11/29/2019,24
Station-6,1,11/29/2019,24
Station-1,0,11/29/2019,24
Station-5,0,11/28/2019,24
Station-1,0,11/28/2019,24
Station-6,1,11/28/2019,24
Station-2,0,11/28/2019,24
Station-4,0,11/28/2019,24
Station-3,0,11/28/2019,24
Station-4,0,11/27/2019,19
Station-6,1,11/27/2019,24
Station-4,1,11/27/2019,5
Station-3,0,11/27/2019,24
Station-5,0,11/27/2019,24
Station-1,0,11/27/2019,24
Station-2,0,11/27/2019,24
Station-2,0,11/26/2019,24
Station-3,0,11/26/2019,24
Station-5,0,11/26/2019,24
Station-4,0,11/26/2019,24
Station-1,0,11/26/2019,24
Station-6,1,11/26/2019,24
Station-1,0,11/25/2019,24
Station-2,0,11/25/2019,24
Station-5,0,11/25/2019,19
Station-4,0,11/25/2019,24
Station-5,1,11/25/2019,5
Station-3,0,11/25/2019,24
Station-6,1,11/25/2019,24
Station-3,1,11/24/2019,24
Station-6,1,11/24/2019,24
Station-1,1,11/24/2019,24
Station-5,1,11/24/2019,24
Station-4,1,11/24/2019,24
Station-2,1,11/24/2019,24
Station-3,1,11/23/2019,14
Station-3,0,11/23/2019,10
Station-5,1,11/23/2019,24
Station-2,0,11/23/2019,10
Station-1,0,11/23/2019,10
Station-4,0,11/23/2019,10
Station-1,1,11/23/2019,14
Station-2,1,11/23/2019,14
Station-6,1,11/23/2019,24
Station-4,1,11/23/2019,14
Station-5,0,11/22/2019,19
Station-2,1,11/22/2019,5
Station-1,1,11/22/2019,5
Station-6,1,11/22/2019,24
Station-3,1,11/22/2019,5
Station-5,1,11/22/2019,5
Station-1,0,11/22/2019,19
Station-4,0,11/22/2019,24
Station-2,0,11/22/2019,19
Station-3,0,11/22/2019,19
Station-4,0,11/21/2019,19
Station-3,0,11/21/2019,24
Station-4,1,11/21/2019,5
Station-1,0,11/21/2019,24
Station-5,0,11/21/2019,24
Station-2,0,11/21/2019,24
Station-6,1,11/21/2019,24
Station-2,1,11/20/2019,5
Station-3,0,11/20/2019,19
Station-4,0,11/20/2019,24
Station-3,1,11/20/2019,5
Station-5,0,11/20/2019,24
Station-2,0,11/20/2019,19
Station-1,1,11/20/2019,5
Station-6,1,11/20/2019,24
Station-1,0,11/20/2019,19
Station-3,1,11/19/2019,5
Station-5,0,11/19/2019,24
Station-6,1,11/19/2019,24
Station-2,0,11/19/2019,19
Station-1,1,11/19/2019,5
Station-1,0,11/19/2019,19
Station-3,0,11/19/2019,19
Station-2,1,11/19/2019,5
Station-4,0,11/19/2019,24
Station-3,1,11/18/2019,24
Station-6,1,11/18/2019,24
Station-2,1,11/18/2019,24
Station-1,1,11/18/2019,24
Station-4,1,11/18/2019,24
Station-5,1,11/18/2019,24
Station-4,1,11/17/2019,24
Station-6,1,11/17/2019,24
Station-2,1,11/17/2019,24
Station-1,1,11/17/2019,24
Station-3,1,11/17/2019,24
Station-5,1,11/17/2019,24
Station-6,1,11/16/2019,24
Station-3,1,11/16/2019,14
Station-2,0,11/16/2019,10
Station-1,1,11/16/2019,14
Station-1,0,11/16/2019,10
Station-2,1,11/16/2019,14
Station-5,1,11/16/2019,24
Station-4,1,11/16/2019,24
Station-3,0,11/16/2019,10
Station-2,0,11/15/2019,19
Station-5,0,11/15/2019,9
Station-5,1,11/15/2019,15
Station-2,1,11/15/2019,5
Station-3,0,11/15/2019,19
Station-6,1,11/15/2019,24
Station-1,0,11/15/2019,19
Station-3,1,11/15/2019,5
Station-1,1,11/15/2019,5
Station-4,1,11/15/2019,24
Station-4,0,11/14/2019,24
Station-3,0,11/14/2019,24
Station-2,0,11/14/2019,24
Station-6,1,11/14/2019,24
Station-5,0,11/14/2019,24
Station-1,0,11/14/2019,24
Station-1,0,11/13/2019,24
Station-5,0,11/13/2019,24
Station-3,0,11/13/2019,24
Station-4,0,11/13/2019,24
Station-2,0,11/13/2019,24
Station-6,1,11/13/2019,24
Station-4,0,11/12/2019,10
Station-6,1,11/12/2019,24
Station-2,0,11/12/2019,24
Station-5,0,11/12/2019,24
Station-1,0,11/12/2019,24
Station-4,1,11/12/2019,14
Station-3,0,11/12/2019,24
Station-2,0,11/11/2019,24
Station-1,0,11/11/2019,24
Station-6,1,11/11/2019,24
Station-4,1,11/11/2019,14
Station-4,0,11/11/2019,10
Station-5,0,11/11/2019,24
Station-3,0,11/11/2019,24
Station-4,1,11/10/2019,9
Station-5,0,11/10/2019,5
Station-1,1,11/10/2019,14
Station-2,1,11/10/2019,14
Station-4,0,11/10/2019,5
Station-3,1,11/10/2019,14
Station-6,1,11/10/2019,14
Station-5,1,11/10/2019,9
Station-3,0,11/9/2019,35
Station-1,0,11/9/2019,35
Station-4,1,11/9/2019,35
Station-5,1,11/9/2019,35
Station-2,0,11/9/2019,35
Station-6,1,11/9/2019,35
Station-6,1,11/8/2019,24
Station-2,0,11/8/2019,19
Station-3,1,11/8/2019,5
Station-5,1,11/8/2019,5
Station-1,1,11/8/2019,5
Station-4,1,11/8/2019,5
Station-4,0,11/8/2019,19
Station-5,0,11/8/2019,19
Station-1,0,11/8/2019,19
Station-3,0,11/8/2019,19
Station-2,1,11/8/2019,5
Station-5,0,11/7/2019,24
Station-6,1,11/7/2019,24
Station-3,0,11/7/2019,24
Station-4,0,11/7/2019,24
Station-2,0,11/7/2019,24
Station-1,0,11/7/2019,24
Station-3,0,11/6/2019,24
